epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.111,0.75396,1.33093,0.89411,0.99323,0.977,0.99271,0.81372,0.67457,0.99537,0.83786,0.000661333,0.000661333,0.000661333
2,286.516,0.71172,0.6507,0.88254,0.99499,0.99214,0.99495,0.82095,0.67118,0.53169,0.85871,0.00126226,0.00126226,0.00126226
3,429.226,0.69825,0.50697,0.88401,0.9917,0.985,0.9946,0.82303,0.6525,0.50631,0.87607,0.00179719,0.00179719,0.00179719
4,562.392,0.67687,0.44801,0.88366,0.99035,0.99,0.99478,0.84726,0.59096,0.40042,0.84826,0.001703,0.001703,0.001703
5,686.774,0.64279,0.40883,0.8765,0.98686,0.97599,0.99288,0.835,0.634,0.41014,0.8732,0.001604,0.001604,0.001604
6,807.826,0.63453,0.39372,0.87487,0.99899,0.9929,0.995,0.85787,0.56312,0.33795,0.84725,0.001505,0.001505,0.001505
7,931.075,0.61297,0.37092,0.87336,0.99732,0.997,0.99498,0.86875,0.53651,0.30661,0.83737,0.001406,0.001406,0.001406
8,1053.41,0.59589,0.35134,0.86764,0.99306,0.998,0.99498,0.86478,0.54535,0.31844,0.83847,0.001307,0.001307,0.001307
9,1179.38,0.59101,0.3452,0.86337,0.99492,1,0.99498,0.86143,0.56814,0.29284,0.84776,0.001208,0.001208,0.001208
10,1298.1,0.57158,0.32335,0.86141,0.99711,0.997,0.995,0.87336,0.5134,0.27759,0.83077,0.001109,0.001109,0.001109
11,1415.59,0.54024,0.3088,0.83696,0.998,0.99802,0.995,0.87322,0.52816,0.27607,0.83816,0.00101,0.00101,0.00101
12,1534.77,0.53805,0.30101,0.83409,0.99601,0.99755,0.99496,0.86873,0.53488,0.27828,0.83673,0.000911,0.000911,0.000911
13,1654.59,0.52476,0.29011,0.83431,0.99704,0.999,0.99499,0.87817,0.51398,0.26475,0.8386,0.000812,0.000812,0.000812
14,1775.63,0.51189,0.27559,0.83175,0.998,0.999,0.995,0.87529,0.5098,0.25124,0.83254,0.000713,0.000713,0.000713
15,1896.83,0.49958,0.26608,0.82834,0.9999,1,0.995,0.88381,0.48483,0.24073,0.82454,0.000614,0.000614,0.000614
16,2014.38,0.48894,0.25265,0.82016,0.99891,1,0.995,0.88732,0.48347,0.23212,0.82365,0.000515,0.000515,0.000515
17,2132.85,0.47888,0.24437,0.82125,0.99993,1,0.995,0.88495,0.48701,0.22993,0.82399,0.000416,0.000416,0.000416
18,2249.29,0.46883,0.23502,0.82145,0.999,0.99987,0.995,0.88654,0.47446,0.21801,0.81931,0.000317,0.000317,0.000317
19,2366.2,0.46098,0.22413,0.81681,1,0.9989,0.995,0.89347,0.46379,0.20918,0.81671,0.000218,0.000218,0.000218
20,2482.08,0.45204,0.21775,0.81585,0.99891,1,0.995,0.89262,0.46112,0.20227,0.81663,0.000119,0.000119,0.000119
